t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
0.0900,swingup,5.00,-0.0453,-0.8170,-176.63,-132.25,0.4394,-0.2017,-2.8256
0.1900,swingup,5.00,-0.1384,-1.0603,-173.96,-139.09,0.5185,-2.0019,-2.2545
0.2900,swingup,5.00,-0.2558,-1.3133,-170.53,-155.92,0.6454,2.6538,-1.9681
0.3900,swingup,5.00,-0.3935,-1.3575,-167.56,-178.55,0.3394,2.4098,3.6173
0.4900,swingup,5.00,-0.5089,-0.8325,-166.79,163.75,0.0243,-2.3042,7.0457
0.5900,swingup,5.00,-0.5630,-0.2017,-166.92,156.59,-0.0558,-0.3869,6.1395
0.6900,swingup,5.00,-0.5580,0.3515,-167.61,160.29,-0.1874,1.4823,5.8413
0.7900,swingup,5.00,-0.4979,0.9072,-169.30,174.37,-0.3739,-3.0896,5.7542
0.8900,swingup,5.00,-0.3861,1.3029,-171.29,-164.69,-0.2523,-2.5485,1.5990
0.9900,swingup,5.00,-0.2568,1.2076,-171.92,-146.48,-0.0340,2.5704,-2.2818
1.0900,swingup,5.00,-0.1478,0.9509,-172.07,-136.79,-0.0349,0.9586,-2.1106
1.1900,swingup,5.00,-0.0624,0.7416,-172.33,-136.48,-0.0459,-0.6862,-1.7943
1.2900,swingup,5.00,0.0024,0.5248,-172.44,-145.58,0.0090,-2.3168,-2.2495
1.3900,swingup,5.00,0.0434,0.2754,-172.29,-163.35,0.0096,2.6474,-1.5917
1.4900,swingup,5.00,0.0668,0.2681,-173.09,175.13,-0.2974,2.7073,2.8675
1.5900,swingup,5.00,0.1090,0.6462,-175.69,158.74,-0.5408,-2.1790,4.5845
1.6900,swingup,5.00,0.1926,1.0488,-179.00,151.39,-0.6029,-0.5541,3.4096
1.7900,swingup,5.00,0.3114,1.3418,177.34,153.08,-0.6714,0.9656,2.3806
1.8900,swingup,5.00,0.4556,1.5434,173.32,162.62,-0.7112,2.1493,0.9669
1.9900,swingup,5.00,0.6121,1.5308,169.60,176.23,-0.5666,2.3634,-2.5105
2.0900,swingup,5.00,0.7516,1.1743,167.04,-172.86,-0.3590,1.3975,-5.3361
2.1900,swingup,5.00,0.8458,0.6471,165.42,-169.40,-0.2265,-0.0768,-5.9838
2.2900,swingup,5.00,0.8855,0.0880,164.56,-174.69,-0.0847,-1.6046,-6.1934
2.3900,swingup,5.00,0.8693,-0.4532,164.46,172.10,0.0162,-2.7688,-5.3736
2.4900,swingup,5.00,0.8063,-0.7863,164.30,155.51,-0.0877,-2.7904,-2.0704
2.5900,swingup,5.00,0.7243,-0.8231,163.46,142.43,-0.1731,-1.7772,-0.0807
2.6900,swingup,5.00,0.6442,-0.7753,162.54,136.36,-0.1422,-0.4577,-0.0700
2.7900,swingup,5.00,0.5682,-0.7450,161.88,137.99,-0.0929,0.8836,-0.2737
2.8900,swingup,5.00,0.4946,-0.7270,161.52,146.92,-0.0322,2.0667,-0.6020
2.9900,swingup,5.00,0.4207,-0.7805,161.81,161.09,0.1476,2.6739,-2.3001
3.0900,swingup,5.00,0.3323,-1.0595,163.60,175.55,0.4454,2.2464,-4.7813
3.1900,swingup,5.00,0.2062,-1.5193,166.85,-174.96,0.6485,1.1199,-5.1846
3.2900,swingup,5.00,0.0339,-1.9549,170.95,-172.42,0.7625,-0.0902,-4.0791
3.3900,swingup,5.00,-0.1769,-2.2665,175.55,-176.03,0.8276,-0.9976,-2.3307
3.4900,swingup,5.00,-0.4106,-2.3783,-179.73,177.12,0.8040,-1.2332,0.3037
3.5900,swingup,5.00,-0.6440,-2.2361,-175.36,171.48,0.7307,-0.6799,2.7958
3.6900,swingup,5.00,-0.8538,-1.9044,-171.37,170.72,0.6674,0.3597,4.2814
3.7900,swingup,5.00,-1.0252,-1.4676,-167.76,176.51,0.6005,1.5400,5.1800
3.8900,swingup,5.00,-1.1505,-0.9913,-164.47,-171.47,0.5623,2.4769,5.1789
3.9900,swingup,5.00,-1.2309,-0.6077,-161.06,-156.35,0.6390,2.6243,3.5951
4.0900,swingup,5.00,-1.2811,-0.3966,-157.08,-143.23,0.7273,1.9266,2.3398
4.1900,swingup,5.00,-1.3139,-0.2432,-152.91,-135.41,0.7138,0.8842,2.5361
